Req ID,Req Name,Verif ID,Verif Type,Acceptance Oracle
SIM-001,Immediate Execution Matching,SIM-001-V1,AutomatedTest,"A multi-level reference book reproduces exact all-or-none status, weighted notional, limit enforcement, cost check, and atomic reservation."
SIM-002,Passive Queue Lifecycle,SIM-002-V1,AutomatedTest,"Confirmed trades, unclassified cancellations, partial fills, and delayed cancellation reproduce the exact conservative queue lifecycle and unobservable cases."
SIM-003,Shared Virtual Matching State,SIM-003-V1,AutomatedTest,"Concurrent intents cannot consume more than shared virtual depth or cash, and all declared ledger invariants remain true."
SIM-004,Concurrent Intent Tie-Breaker,SIM-004-V1,AutomatedTest,Identical arrival timestamps produce the exact preregistered total order across repeated runs.
SIM-005,Settlement and Ledger Finalization,SIM-005-V1,AutomatedTest,"Disputed status produces no settlement; Final Yes/No, Void, Cancelled, Invalid, and DefinitionChanged apply the preregistered ledger and scoring policy."
SIM-006,Counterfactual Limitation,SIM-006-V1,AnalysisArtifact,Results are segmented by all preregistered participation-ratio bands and clearly state the no-market-impact assumption.
MET-001,Primary Forecast Evaluation,MET-001-V1,AutomatedTest,"A controlled fixture reproduces Brier Score, clipped Log Loss, calibration diagnostics, coverage, abstention, and skill against both baselines."
MET-002,Forecast Selection Rule,MET-002-V1,AutomatedTest,"Multiple forecasts for one event-group/horizon yield exactly the preregistered primary forecast or aggregation, independent of eventual outcome."
MET-003,Statistical Uncertainty,MET-003-V1,AutomatedTest,A grouped fixture with fixed configuration reproduces reference clustered intervals within EpsilonMetric.
MET-004,Simulation Performance,MET-004-V1,AutomatedTest,"A controlled reference ledger reproduces every declared P&L, cost, fill, slippage, markout, drawdown, and inventory metric within specified tolerances."
MET-005,Abstention Reporting,MET-005-V1,AutomatedTest,A controlled abstention fixture reproduces covered-subset coverage and score and all-event baseline-fallback score.
TEL-002,NAV Edge-Case Handling,TEL-002-V1,AutomatedTest,"Empty, one-sided, stale, fragmented, partially liquid, and fully liquid fixtures produce the exact declared valuation status and no silent optimistic value."
REP-001,Deterministic Offline Replay,REP-001-V1,AutomatedTest,"A valid offline replay with frozen artifacts produces bit-identical canonical selections, dispositions, ledgers, and final state hashes across repeated runs."
REP-002,Replay Network Isolation,REP-002-V1,AutomatedTest,"A prohibited external call aborts the run, records the violation, marks the run invalid, and produces no valid final research artifact."
ROB-001,Adversarial Input Robustness,ROB-001-V1,AutomatedTest,"The fixed attack corpus remains bounded, cannot bypass schema validation, executes no content, and produces complete robustness metrics."
DOC-001,Requirement Integrity,DOC-001-V1,AutomatedTest,"The document validator confirms unique normative IDs, unique verification IDs, matching names, no invisible controlled-identifier characters, and at least one verification or reviewed justification per requirement."
